Gene.Name,Presence.,Bigg.ID.Name,essential,beta,zscore,p.value,fdr
ACSBG2,TRUE,81616_AT1,1,-0.13528,-1.0893,0,0
ACSL1,TRUE,2180_AT1,1,-0.06217,-0.60078,0.0050601,0.018128
ACSL3,TRUE,2181_AT1,1,-0.082278,-0.95298,0.0016591,0.0073665
ACSL4,TRUE,2182_AT1,1,-0.10174,-0.92537,0.00049772,0.0026906
ACSL5,TRUE,51703_AT1,0,0.080523,0.66845,0.6336,0.76725
ACSL6,TRUE,23305_AT1,0,0.093729,0.91346,0.47184,0.64018
ACSM1,TRUE,116285_AT1,0,0.045892,0.45736,0.83144,0.89611
ACSM2A,TRUE,123876_AT1,0,0.011549,0.11363,0.32717,0.49146
ACSM2B,TRUE,348158_AT1,1,-0.11312,-1.4183,0.00024886,0.0014458
ACSM3,TRUE,6296_AT1,0,0.0061448,0.071681,0.27117,0.43298
ACSM4,TRUE,341392_AT1,1,-0.12211,-1.3413,0,0
ACSM5,TRUE,54988_AT1,1,-0.075548,-0.69417,0.0024056,0.0098807
ACSS1,TRUE,84532_AT1,0,0.067373,0.62686,0.81427,0.88953
ACSS2,TRUE,55902_AT1,0,0.0076199,0.085843,0.28718,0.4499
ACSS3,TRUE,79611_AT1,0,0.16556,1.729,0.076649,0.16724
ACY1,TRUE,95_AT1,1,-0.12322,-1.2401,0,0
ACY3,TRUE,91703_AT1,0,0.11696,0.97556,0.27756,0.44026
ACYP1,TRUE,97_AT1,0,0.050874,0.40532,0.91506,0.94931
ACYP2,TRUE,98_AT1,1,-0.064884,-0.41068,0.0044795,0.016564
ADA,TRUE,100_AT1,0,0.025613,0.2487,0.51199,0.67014
ADCY1,TRUE,107_AT1,0,0.0046268,0.045502,0.25608,0.41632
ADCY10,TRUE,55811_AT1,0,0.059643,0.56877,0.93671,0.9602
ADCY2,TRUE,108_AT1,0,0.019951,0.30259,0.43351,0.60207
ADCY3,TRUE,109_AT1,0,0.048637,0.55036,0.87897,0.92638
ADCY4,TRUE,196883_AT1,0,0.014465,0.12482,0.36284,0.53212
ADCY5,TRUE,111_AT1,0,0.15149,1.4377,0.11771,0.23377
ADCY6,TRUE,112_AT1,1,-0.13906,-1.7369,0,0
ADCY7,TRUE,113_AT1,0,-0.018163,-0.19155,0.092908,0.1936
ADCY8,TRUE,114_AT1,0,0.072226,0.71847,0.74243,0.83959
ADCY9,TRUE,115_AT1,1,-0.060988,-0.85844,0.0060556,0.021408
ADH1A,TRUE,124_AT1,1,-0.062839,-0.73568,0.0047283,0.01699
ADH1B,TRUE,125_AT1,0,0.053498,0.50154,0.95803,0.97378
ADH4,TRUE,127_AT1,0,0.068904,0.6275,0.79038,0.87373
ADH5,TRUE,128_AT1,0,0.071414,0.59044,0.75263,0.84439
ADH6,TRUE,130_AT1,1,-0.069473,-0.52105,0.0032352,0.012361
ADI1,TRUE,55256_AT1,0,-0.019804,-0.26879,0.087764,0.18594
ADK,TRUE,132_AT1,1,-0.091054,-1.1656,0.0010784,0.0052104
ADSL,TRUE,158_AT1,1,-0.042419,-0.43228,0.024886,0.06993
ADSS,TRUE,159_AT1,1,-0.24373,-2.0753,0,0
ADSSL1,TRUE,122622_AT1,1,-0.1204,-1.1569,0,0
AGA,TRUE,175_AT1,0,-0.033884,-0.37782,0.041808,0.10456
AGK,TRUE,55750_AT1,1,-0.11532,-1.5329,0,0
AGL,TRUE,178_AT1,0,0.04966,0.5156,0.89432,0.93504
AGPAT1,TRUE,10554_AT1,0,0.20978,1.8394,0.019743,0.057557
AGPAT2,TRUE,10555_AT1,1,-0.094387,-1.129,0.00099544,0.0049793
AGXT,TRUE,189_AT1,1,-0.082115,-0.91299,0.0016591,0.0073665
AGXT2,TRUE,64902_AT1,1,-0.076248,-0.68836,0.0023227,0.0096886
AHCY,TRUE,191_AT1,1,-0.10155,-1.1476,0.00058067,0.003125
AHCYL1,TRUE,10768_AT1,0,0.0022604,0.017263,0.23351,0.38935
AK1,TRUE,203_AT1,0,0.075761,0.53942,0.69598,0.80964
AK2,TRUE,204_AT1,0,0.094172,0.97645,0.46678,0.63582
AK3,TRUE,50808_AT1,1,-0.13954,-1.4903,0,0
AK5,TRUE,26289_AT1,0,0.0023288,0.023083,0.23476,0.39034
AK7,TRUE,122481_AT1,0,0.085081,0.93588,0.57843,0.72072
AKR1A1,TRUE,10327_AT1,1,-0.035666,-0.37104,0.03791,0.097234
AKR1B1,TRUE,231_AT1,0,0.091904,0.70208,0.49282,0.65669
AKR1B10,TRUE,57016_AT1,0,-0.032668,-0.42481,0.045624,0.11329
AKR1C1,TRUE,1645_AT1,0,-0.025249,-0.24808,0.06827,0.15398
AKR1C2,TRUE,1646_AT1,1,-0.13413,-1.508,0,0
AKR1C3,TRUE,8644_AT1,0,0.048462,0.40624,0.87607,0.92559
AKR1C4,TRUE,1109_AT1,0,-0.0095107,-0.10666,0.13861,0.26315
AKR1D1,TRUE,6718_AT1,1,-0.054183,-0.60735,0.011033,0.03624
AKR7A2,TRUE,8574_AT1,1,-0.040612,-0.38519,0.02837,0.077993
ALAD,TRUE,210_AT1,0,0.096243,1.1029,0.44496,0.61326
ALAS1,TRUE,211_AT1,0,0.21843,1.3211,0.015429,0.047029
